	ID	x	y	z	radius	volume_total	volume_nuclear_fluid	volume_nuclear_solid	volume_cytoplasmic_fluid	volume_cytoplasmic_solid	volume_calcified_fraction	phenotype	elapsed_time
243	243	207.217	385.733	0	2.94311	106.784	6.82348e-10	0.276526	2.62557e-07	106.508	0.000419824	102	28182
244	1201	369.778	347.174	0	8.36052	2447.87	399.638	134.148	1432.75	481.338	0	14	792
245	1393	311.817	445.759	0	8.41271	2494	405	135	1465.5	488.5	0	14	3264
246	761	381.119	167.684	0	2.95103	107.649	7.92592e-10	0.285667	2.9759e-07	107.363	0.000419824	102	28032
247	806	257.661	431.057	0	2.93455	105.855	5.80438e-10	0.266981	2.29332e-07	105.588	0.000419824	102	28344
248	1202	385.76	413.371	0	8.41271	2494	405	135	1465.5	488.5	0	14	7752
249	582	249.422	320.125	0	2.94786	107.302	7.46504e-10	0.281975	2.83049e-07	107.02	0.000419824	102	28092
250	250	379.354	223.227	0	2.93931	106.372	6.35016e-10	0.272243	2.47237e-07	106.099	0.000419824	102	28254
251	844	358.88	429.634	0	2.9274	105.083	5.80434e-10	0.267201	2.27467e-07	104.816	0.000419824	102	28332
252	1983	151.403	246.771	0	8.36074	2448.06	399.734	134.173	1432.81	481.344	0	14	810
253	253	472.395	352.291	0	2.939	106.337	6.31223e-10	0.271889	2.46002e-07	106.065	0.000419824	102	28260
254	254	474.184	210.308	0	2.93931	106.372	6.35016e-10	0.272243	2.47237e-07	106.099	0.000419824	102	28254
255	572	211.915	174.724	0	2.84165	96.1171	5.61073e-10	0.254397	2.11218e-07	95.8627	0.000419824	102	28266
256	515	320.511	464.76	0	2.94501	106.991	7.07321e-10	0.278693	2.70569e-07	106.712	0.000419824	102	28146
257	257	466.671	344.272	0	2.93805	106.234	6.19979e-10	0.27083	2.42332e-07	105.964	0.000419824	102	28278
258	1822	331.561	323.789	0	8.41271	2494	405	135	1465.5	488.5	0	14	2958
259	599	424.18	253.43	0	2.939	106.337	6.31223e-10	0.271889	2.46002e-07	106.065	0.000419824	102	28260
260	713	191.609	341.842	0	2.93268	105.653	5.59947e-10	0.264907	2.22547e-07	105.389	0.000419824	102	28380
261	871	343.594	459.011	0	2.90753	102.958	6.05644e-10	0.266956	2.32747e-07	102.691	0.000419824	102	28272
262	262	458.91	239.254	0	2.93868	106.303	6.27452e-10	0.271536	2.44772e-07	106.031	0.000419824	102	28266
263	263	146.555	388.978	0	2.93142	105.517	5.46688e-10	0.263532	2.18131e-07	105.254	0.000419824	102	28404
264	264	145.988	206.725	0	2.95039	107.579	7.83152e-10	0.284925	2.94624e-07	107.294	0.000419824	102	28044
265	617	470.022	227.545	0	2.93584	105.995	5.94518e-10	0.268375	2.33981e-07	105.726	0.000419824	102	28320
266	1446	444.876	245.796	0	8.38291	2467.59	402.049	134.545	1446.63	484.363	0	14	894
267	511	338.279	459.927	0	2.94215	106.68	6.70193e-10	0.275449	2.58639e-07	106.405	0.000419824	102	28200
268	860	364.753	290.255	0	2.91961	104.247	6.04493e-10	0.268416	2.33939e-07	103.979	0.000419824	102	28284
269	269	297.319	356.895	0	2.9523	107.788	8.11814e-10	0.287157	3.03614e-07	107.501	0.000419824	102	28008
270	1292	326.628	406.644	0	8.41271	2494	405	135	1465.5	488.5	0	14	12990
271	271	325.792	381.317	0	2.93584	105.995	5.94518e-10	0.268375	2.33981e-07	105.726	0.000419824	102	28320
272	272	322.041	229.378	0	2.94374	106.853	6.90572e-10	0.277246	2.65201e-07	106.576	0.000419824	102	28170
273	723	457.306	220.127	0	2.93331	105.722	5.66696e-10	0.265597	2.24788e-07	105.456	0.000419824	102	28368
274	274	259.433	176.22	0	2.94469	106.956	7.03096e-10	0.278331	2.69217e-07	106.678	0.000419824	102	28152
275	1552	240.924	173.557	0	1.82001	25.2529	3.007e-05	22.7352	3.57033e-06	2.51762	0	100	306
276	276	323.576	234.398	0	2.9371	106.132	6.08936e-10	0.269775	2.38717e-07	105.862	0.000419824	102	28296
277	277	242.099	394.713	0	2.93048	105.415	5.3695e-10	0.262505	2.14877e-07	105.153	0.000419824	102	28422
278	1122	211.76	149.193	0	8.41271	2494	405	135	1465.5	488.5	0	14	4044
279	987	273.669	254.12	0	8.41271	2494	405	135	1465.5	488.5	0	14	3348
280	280	348.642	204.476	0	2.93016	105.381	5.33743e-10	0.262164	2.13803e-07	105.119	0.000419824	102	28428
281	1178	94.1134	303.441	0	8.41271	2494	405	135	1465.5	488.5	0	14	4452
282	974	352.565	398.474	0	8.41245	2493.77	404.983	134.999	1465.33	488.462	0	14	1920
283	1689	157.024	428.271	0	8.41271	2494	405	135	1465.5	488.5	0	14	5076
284	583	373.089	400.08	0	2.95325	107.892	8.26536e-10	0.28828	3.08212e-07	107.604	0.000419824	102	27990
285	285	228.739	418.763	0	2.94311	106.784	6.82348e-10	0.276526	2.62557e-07	106.507	0.000419824	102	28182
286	1574	136.299	386.684	0	8.41269	2493.98	404.999	135	1465.49	488.497	0	14	2466
287	287	378.805	400.33	0	2.94089	106.543	6.54325e-10	0.27402	2.53509e-07	106.269	0.000419824	102	28224
288	288	394.417	177.482	0	2.94026	106.474	6.46532e-10	0.273308	2.50981e-07	106.201	0.000419824	102	28236
289	289	201.605	372.313	0	2.91092	103.319	6.00418e-10	0.266968	2.3154e-07	103.052	0.000419824	102	28284
290	595	434.977	328.772	0	2.93048	105.415	5.3695e-10	0.262505	2.14877e-07	105.153	0.000419824	102	28422
291	291	428.195	377.29	0	8.41271	2494	405	135	1465.5	488.5	0	14	7122
292	2013	263.41	392.871	0	8.34884	2437.62	398.147	133.875	1425.76	479.838	0	14	732
293	636	399.629	280.989	0	2.93931	106.372	6.35016e-10	0.272243	2.47237e-07	106.099	0.000419824	102	28254
294	715	159.62	443.62	0	2.93935	106.376	6.65574e-10	0.274879	2.56654e-07	106.101	0.000419824	102	28206
295	788	389.467	391.418	0	2.9412	106.577	6.58256e-10	0.274376	2.54781e-07	106.303	0.000419824	102	28218
296	1151	-nan	-nan	0	1.82001	25.2529	3.007e-05	22.7352	3.57033e-06	2.51762	0	100	306
297	707	200.447	168.501	0	2.94532	107.025	7.11571e-10	0.279056	2.71928e-07	106.746	0.000419824	102	28140
298	559	325.505	474.522	0	2.93079	105.449	5.40177e-10	0.262847	2.15957e-07	105.186	0.000419824	102	28416
299	552	250.511	117.314	0	2.94501	106.991	7.07321e-10	0.278693	2.70569e-07	106.712	0.000419824	102	28146
300	300	394.961	184.188	0	2.93489	105.892	5.83928e-10	0.26733	2.3049e-07	105.625	0.000419824	102	28338
301	838	254.303	211.782	0	8.4127	2493.99	405	135	1465.5	488.499	0	14	2718
302	302	152.182	199.86	0	2.93268	105.653	5.59947e-10	0.264907	2.22547e-07	105.389	0.000419824	102	28380
303	1798	143.024	400.203	0	8.41271	2494	405	135	1465.5	488.5	0	14	3618
304	304	478.954	175.008	0	2.94406	106.887	6.94722e-10	0.277607	2.66533e-07	106.61	0.000419824	102	28164
305	520	249.135	122.483	0	2.93205	105.585	5.53278e-10	0.264218	2.20328e-07	105.321	0.000419824	102	28392
306	1589	345.622	194.293	0	8.41271	2494	405	135	1465.5	488.5	0	14	4164
307	1609	170.434	289.92	0	8.41268	2493.97	404.998	135	1465.48	488.495	0	14	2382
308	751	243.615	359.908	0	2.94881	107.406	7.60042e-10	0.283077	2.87335e-07	107.123	0.000419824	102	28074
309	1535	218.525	305.964	0	7.77763	1970.75	322.854	118.51	1118.25	411.13	0	14	252
